pais,precio,cantidad_vinos
Argentina,23.604663487016428,1907
Armenia,14.0,1
Australia,35.786701208981,1177
Austria,30.846774193548388,1635
Bosnia and Herzegovina,13.0,1
Brazil,23.185185185185187,31
Bulgaria,14.014705882352942,68
Canada,35.575471698113205,108
Chile,21.021543985637344,2258
Croatia,25.0,44
Cyprus,16.0,6
Czech Republic,23.666666666666668,6
England,51.63636363636363,36
France,41.57794888963285,11174
Georgia,18.27027027027027,37
Germany,40.592233009708735,1051
Greece,21.84518828451883,242
Hungary,50.81967213114754,61
India,13.5,4
Israel,31.508064516129032,259
Italy,39.739835514884746,10005
Lebanon,30.4,20
Luxembourg,23.0,4
Macedonia,15.833333333333334,6
Mexico,26.677419354838708,31
Moldova,17.9,30
Morocco,21.09090909090909,11
New Zealand,26.662905500705218,733
Peru,20.5,8
Portugal,25.64736012608353,2963
Romania,13.73134328358209,67
Serbia,25.0,7
Slovakia,16.0,1
Slovenia,24.0,39
South Africa,24.293478260869566,737
Spain,27.875925377554044,3409
Switzerland,97.0,4
Turkey,25.767441860465116,43
US,36.34488875748392,27177
Ukraine,9.2,5
Uruguay,26.737704918032787,61
